ID,Owner,Created,Tags,Name,skopt,grid,cat,lgbm,xgb
FIN-46,damiankucharski,2021-01-08 08:22:35,[],37.cylinder-bands.csv,0.8611111111111112,0.7962962962962963,0.8240740740740741,0.8333333333333334,0.7870370370370371
FIN-45,damiankucharski,2021-01-08 08:21:07,[],9.zoo.csv,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.5238095238095238,0.7619047619047619
FIN-44,damiankucharski,2021-01-08 08:15:38,[],8.bupa-liver-disorders.csv,0.8695652173913043,0.7536231884057971,0.782608695652174,0.8260869565217391,0.7971014492753623
FIN-43,damiankucharski,2021-01-08 08:13:28,[],5.echocardiogram.csv,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148
FIN-42,damiankucharski,2021-01-08 08:00:54,[],39.credit-g.csv,0.84,0.785,0.815,0.795,0.79
FIN-41,damiankucharski,2021-01-08 06:53:19,[],36.sonar.csv,0.9285714285714286,0.8095238095238095,0.8333333333333334,0.8571428571428571,0.8333333333333334
FIN-40,damiankucharski,2021-01-08 06:47:02,[],7.balance-scale.csv,0.984,0.904,0.888,0.824,0.88
FIN-39,damiankucharski,2021-01-08 06:44:47,[],4.iris.csv,1.0,1.0,1.0,0.9333333333333333,1.0
FIN-38,damiankucharski,2021-01-08 06:12:14,[],38.seismic-bumps.csv,0.9361702127659575,0.9284332688588007,0.9342359767891683,0.9206963249516441,0.9245647969052224
FIN-37,damiankucharski,2021-01-07 23:32:18,[],40.soybean.csv,0.9708029197080292,0.9051094890510949,0.9343065693430657,0.9051094890510949,0.927007299270073
FIN-36,damiankucharski,2021-01-07 23:25:36,[],6.prnn-synth.csv,0.92,0.82,0.84,0.8,0.82
FIN-30,damiankucharski,2021-01-07 06:56:51,[],35.anneal.csv,1.0,1.0,1.0,1.0,0.9944444444444445
FIN-29,damiankucharski,2021-01-07 06:23:59,[],34.ionosphere.csv,0.9577464788732394,0.9295774647887324,0.9295774647887324,0.9295774647887324,0.9295774647887324
FIN-28,damiankucharski,2021-01-07 05:23:11,[],33.yeast.csv,0.6296296296296297,0.6094276094276094,0.5824915824915825,0.569023569023569,0.622895622895623
FIN-27,damiankucharski,2021-01-07 04:30:25,[],32.vehicle.csv,0.8117647058823529,0.7823529411764706,0.7823529411764706,0.7705882352941177,0.7588235294117647
FIN-26,damiankucharski,2021-01-07 03:58:31,[],31.car.csv,1.0,0.9971098265895953,0.9739884393063584,0.9855491329479769,0.953757225433526
FIN-25,damiankucharski,2021-01-07 03:48:54,[],30.horse-colic.csv,0.9054054054054054,0.8648648648648649,0.8648648648648649,0.8378378378378378,0.8648648648648649
FIN-24,damiankucharski,2021-01-07 03:45:30,[],3.labor.csv,0.8333333333333334,0.75,0.75,0.6666666666666666,0.6666666666666666
FIN-23,damiankucharski,2021-01-07 03:41:55,[],29.titanic.csv,0.782312925170068,0.782312925170068,0.782312925170068,0.782312925170068,0.782312925170068
FIN-22,damiankucharski,2021-01-07 03:31:02,[],28.diabetes.csv,0.8051948051948052,0.7597402597402597,0.7467532467532467,0.7272727272727273,0.7597402597402597
FIN-21,damiankucharski,2021-01-07 02:57:43,[],27.credit-a.csv,0.8840579710144928,0.855072463768116,0.8623188405797102,0.8188405797101449,0.8260869565217391
FIN-20,damiankucharski,2021-01-07 02:35:22,[],26.tic-tac-toe.csv,1.0,0.9895833333333334,0.984375,0.9947916666666666,0.96875
FIN-19,damiankucharski,2021-01-07 00:18:50,[],25.primary-tumor.csv,0.5588235294117647,0.4117647058823529,0.36764705882352944,0.45588235294117646,0.4852941176470588
FIN-18,damiankucharski,2021-01-07 00:12:05,[],24.heart-c.csv,0.8688524590163934,0.8360655737704918,0.8360655737704918,0.8688524590163934,0.8524590163934426
FIN-17,damiankucharski,2021-01-07 00:06:25,[],23.breast-w.csv,0.9785714285714285,0.9785714285714285,0.9714285714285714,0.9714285714285714,0.95
FIN-16,damiankucharski,2021-01-06 23:57:33,[],22.breast-cancer.csv,0.8620689655172413,0.7586206896551724,0.8103448275862069,0.7586206896551724,0.7413793103448276
FIN-15,damiankucharski,2021-01-06 23:51:40,[],21.vote.csv,0.9770114942528736,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104
FIN-14,damiankucharski,2021-01-06 23:33:22,[],20.lymph.csv,0.9,0.9333333333333333,0.8,0.9,0.8666666666666667
FIN-13,damiankucharski,2021-01-06 23:30:47,[],2.hayes-roth.csv,0.7777777777777778,0.7407407407407407,0.5925925925925926,0.5925925925925926,0.7407407407407407
FIN-12,damiankucharski,2021-01-06 23:18:02,[],19.flag.csv,0.6923076923076923,0.6666666666666666,0.5897435897435898,0.6153846153846154,0.6153846153846154
FIN-11,damiankucharski,2021-01-06 23:09:23,[],18.mammographic-masses.csv,0.8601036269430051,0.8393782383419689,0.844559585492228,0.8238341968911918,0.8393782383419689
FIN-10,damiankucharski,2021-01-06 22:47:54,[],17.glass.csv,0.9069767441860465,0.7674418604651163,0.8372093023255814,0.7674418604651163,0.7209302325581395
FIN-9,damiankucharski,2021-01-06 22:28:20,[],16.ecoli.csv,0.9117647058823529,0.8676470588235294,0.9117647058823529,0.8676470588235294,0.8529411764705882
FIN-8,damiankucharski,2021-01-06 22:20:18,[],15.heart-statlog.csv,0.9444444444444444,0.8333333333333334,0.9074074074074074,0.8518518518518519,0.8148148148148148
FIN-7,damiankucharski,2021-01-06 22:12:32,[],14.wine.csv,1.0,1.0,1.0,0.9722222222222222,0.9722222222222222
FIN-6,damiankucharski,2021-01-06 21:51:37,[],13.cleveland.csv,0.6065573770491803,0.5573770491803278,0.47540983606557374,0.4918032786885246,0.5081967213114754
FIN-5,damiankucharski,2021-01-06 21:37:35,[],12.auto-mpg.csv,0.9125,0.9,0.9,0.875,0.85
FIN-4,damiankucharski,2021-01-06 21:31:57,[],11.hepatitis.csv,0.8064516129032258,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677
FIN-3,damiankucharski,2021-01-06 21:27:03,[],10.hungarian-heart-disease.csv,0.8813559322033898,0.8135593220338984,0.847457627118644,0.7796610169491526,0.8305084745762712
FIN-2,damiankucharski,2021-01-06 21:24:43,[],1.contact-lenses.csv,1.0,1.0,1.0,0.8,0.8
