Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,class
183.9,122.6,0,203.5,0,959.2,800,3,4.903553
102,153,0,192,0,887,942,3,4.565021
102,153,0,192,0,887,942,90,25.46097
122.6,183.9,0,203.5,0,958.2,800.1,28,24.290929
166.8,250.2,0,203.5,0,975.6,692.6,28,33.94773
200,133,0,192,0,965.4,806.2,3,11.414275
108.3,162.4,0,203.5,0,938.2,849,28,20.593959
305.3,203.5,0,203.5,0,965.4,631,7,25.893961
108.3,162.4,0,203.5,0,938.2,849,90,29.231714
116,173,0,192,0,909.8,891.9,90,31.023662
141.3,212,0,203.5,0,971.8,748.5,7,10.393851
157,236,0,192,0,935.4,781.2,28,33.664355
133,200,0,192,0,927.4,839.2,28,27.874825
250.2,166.8,0,203.5,0,977.6,694.1,7,19.350144
173,116,0,192,0,946.8,856.8,7,11.392212
192,288,0,192,0,929.8,716.1,3,12.788401
192,288,0,192,0,929.8,716.1,28,39.321506
153,102,0,192,0,888,943.1,3,4.782206
288,192,0,192,0,932,717.8,3,16.109607
305.3,203.5,0,203.5,0,965.4,631,28,43.377004
236,157,0,192,0,972.6,749.1,7,20.416074
173,116,0,192,0,946.8,856.8,3,6.940955
212,141.3,0,203.5,0,973.4,750,7,15.030577
236,157,0,192,0,972.6,749.1,3,13.56544
183.9,122.6,0,203.5,0,959.2,800,90,32.532925
166.8,250.2,0,203.5,0,975.6,692.6,7,15.748321
102,153,0,192,0,887,942,7,7.675936
288,192,0,192,0,932,717.8,28,38.804399
212,141.3,0,203.5,0,973.4,750,28,33.003837
102,153,0,192,0,887,942,28,17.275511
173,116,0,192,0,946.8,856.8,28,24.281966
183.9,122.6,0,203.5,0,959.2,800,28,24.046165
133,200,0,192,0,927.4,839.2,90,36.588423
192,288,0,192,0,929.8,716.1,90,50.732334
133,200,0,192,0,927.4,839.2,7,13.664035
305.3,203.5,0,203.5,0,965.4,631,3,14.143911
236,157,0,192,0,972.6,749.1,90,47.782066
108.3,162.4,0,203.5,0,938.2,849,3,2.331808
157,236,0,192,0,935.4,781.2,7,16.889404
288,192,0,192,0,932,717.8,7,23.523542
212,141.3,0,203.5,0,973.4,750,3,6.808576
212,141.3,0,203.5,0,973.4,750,90,39.700028
153,102,0,192,0,888,943.1,28,17.964297
236,157,0,192,0,972.6,749.1,28,32.884558
116,173,0,192,0,909.8,891.9,28,22.347986
183.9,122.6,0,203.5,0,959.2,800,7,10.787541
108.3,162.4,0,203.5,0,938.2,849,7,7.72351
203.5,305.3,0,203.5,0,963.4,630,28,41.68434
203.5,305.3,0,203.5,0,963.4,630,3,9.561653
133,200,0,192,0,927.4,839.2,3,6.883728
288,192,0,192,0,932,717.8,90,50.52687
200,133,0,192,0,965.4,806.2,7,17.165884
200,133,0,192,0,965.4,806.2,28,30.439676
250.2,166.8,0,203.5,0,977.6,694.1,3,9.731264
122.6,183.9,0,203.5,0,958.2,800.1,3,3.319827
153,102,0,192,0,888,943.1,90,26.322815
200,133,0,192,0,965.4,806.2,90,43.250829
116,173,0,192,0,909.8,891.9,3,6.280437
173,116,0,192,0,946.8,856.8,90,32.102692
250.2,166.8,0,203.5,0,977.6,694.1,28,36.964187
305.3,203.5,0,203.5,0,965.4,631,90,54.598915
192,288,0,192,0,929.8,716.1,7,21.480625
157,236,0,192,0,935.4,781.2,3,9.694722
153,102,0,192,0,888,943.1,7,8.374375
141.3,212,0,203.5,0,971.8,748.5,90,39.662107
116,173,0,192,0,909.8,891.9,7,10.089792
141.3,212,0,203.5,0,971.8,748.5,3,4.827711
122.6,183.9,0,203.5,0,958.2,800.1,7,10.354551
166.8,250.2,0,203.5,0,975.6,692.6,90,43.565231
203.5,305.3,0,203.5,0,963.4,630,90,51.863764
310,0,0,192,0,1012,830,3,11.852092
310,0,0,192,0,1012,830,7,17.243795
310,0,0,192,0,1012,830,28,27.827251
310,0,0,192,0,1012,830,90,35.76312
310,0,0,192,0,1012,830,120,38.700288
331,0,0,192,0,1025,821,3,14.306627
331,0,0,192,0,1025,821,7,17.436848
331,0,0,192,0,1025,821,28,31.743475
331,0,0,192,0,1025,821,90,37.914285
331,0,0,192,0,1025,821,120,39.382869
349,0,0,192,0,1056,809,3,15.871738
349,0,0,192,0,1056,809,7,9.011451
349,0,0,192,0,1056,809,28,33.60506
349,0,0,192,0,1056,809,90,40.6584
349,0,0,192,0,1056,809,120,40.858348
238,0,0,186,0,1119,789,7,12.05204
238,0,0,186,0,1119,789,28,17.540269
296,0,0,186,0,1090,769,7,18.912327
296,0,0,186,0,1090,769,28,25.179664
297,0,0,186,0,1040,734,7,30.957472
480,0,0,192,0,936,721,28,43.892041999999996
480,0,0,192,0,936,721,90,54.275551
397,0,0,186,0,1040,734,28,36.935229
281,0,0,186,0,1104,774,7,14.49968
281,0,0,185,0,1104,774,28,22.435549
500,0,0,200,0,1125,613,1,12.638095
500,0,0,200,0,1125,613,3,26.062193
500,0,0,200,0,1125,613,7,33.212059000000004
500,0,0,200,0,1125,613,14,36.935229
500,0,0,200,0,1125,613,28,44.09199
540,0,0,173,0,1125,613,7,52.613914
540,0,0,173,0,1125,613,14,59.76378
540,0,0,173,0,1125,613,28,67.306647
540,0,0,173,0,1125,613,90,69.65776
540,0,0,173,0,1125,613,180,71.622767
540,0,0,173,0,1125,613,270,74.166933
350,0,0,203,0,974,775,7,18.126324
350,0,0,203,0,974,775,14,22.532076
350,0,0,203,0,974,775,28,27.337723
350,0,0,203,0,974,775,56,29.978416
350,0,0,203,0,974,775,90,31.350474
350,0,0,203,0,974,775,180,32.722531
385,0,0,186,0,966,763,1,6.267337
385,0,0,186,0,966,763,3,14.699628
385,0,0,186,0,966,763,7,23.221552
385,0,0,186,0,966,763,14,27.923778
385,0,0,186,0,966,763,28,31.350474
331,0,0,192,0,978,825,180,38.996763
331,0,0,192,0,978,825,360,41.244454
349,0,0,192,0,1047,806,3,14.989208
331,0,0,192,0,978,825,3,13.520624
382,0,0,186,0,1047,739,7,24.00066
382,0,0,186,0,1047,739,28,37.424757
382,0,0,186,0,1111,784,7,11.465986
281,0,0,186,0,1104,774,28,22.435549
339,0,0,185,0,1069,754,7,21.160018
339,0,0,185,0,1069,754,28,31.840002
295,0,0,185,0,1069,769,7,14.796155
295,0,0,185,0,1069,769,28,25.179664
238,0,0,185,0,1118,789,28,17.540269
296,0,0,192,0,1085,765,7,14.203206
296,0,0,192,0,1085,765,28,21.649546
296,0,0,192,0,1085,765,90,29.392362
331,0,0,192,0,879,825,3,13.520624
331,0,0,192,0,978,825,7,16.264739
331,0,0,192,0,978,825,28,31.447
331,0,0,192,0,978,825,90,37.231704
349,0,0,192,0,1047,806,7,18.126324
349,0,0,192,0,1047,806,28,32.722531
349,0,0,192,0,1047,806,90,39.486291
349,0,0,192,0,1047,806,180,41.051401
349,0,0,192,0,1047,806,360,42.126984
302,0,0,203,0,974,817,14,18.126324
302,0,0,203,0,974,817,180,26.744774
525,0,0,189,0,1125,613,180,61.92184
500,0,0,200,0,1125,613,90,47.222211
500,0,0,200,0,1125,613,180,51.041908
500,0,0,200,0,1125,613,270,55.15808
540,0,0,173,0,1125,613,3,41.637456
252,0,0,185,0,1111,784,7,13.713678
252,0,0,185,0,1111,784,28,19.691435
339,0,0,185,0,1060,754,28,31.646948
393,0,0,192,0,940,758,3,19.10538
393,0,0,192,0,940,758,28,39.582817
393,0,0,192,0,940,758,90,48.794217
382,0,0,185,0,1047,739,7,24.00066
382,0,0,185,0,1047,739,28,37.424757
252,0,0,186,0,1111,784,7,11.465986
252,0,0,185,0,1111,784,28,19.691435
310,0,0,192,0,970,850,7,14.989208
310,0,0,192,0,970,850,28,27.923778
310,0,0,192,0,970,850,90,34.680643
310,0,0,192,0,970,850,180,37.328231
310,0,0,192,0,970,850,360,38.114233
525,0,0,189,0,1125,613,3,33.798114
525,0,0,189,0,1125,613,7,42.423458
525,0,0,189,0,1125,613,14,48.401215
525,0,0,189,0,1125,613,28,55.944083
525,0,0,189,0,1125,613,90,58.784724
525,0,0,189,0,1125,613,270,67.113594
322,0,0,203,0,974,800,14,20.773912
322,0,0,203,0,974,800,28,25.179664
322,0,0,203,0,974,800,180,29.585415
302,0,0,203,0,974,817,28,21.752968
397,0,0,185,0,1040,734,28,39.093289
480,0,0,192,0,936,721,3,24.393661
522,0,0,146,0,896,896,7,50.511012
522,0,0,146,0,896,896,28,74.98741
273,105,82,210,9,904,680,28,37.169651
162,190,148,179,19,838,741,28,33.756745
154,144,112,220,10,923,658,28,16.499161
147,115,89,202,9,860,829,28,19.987909
152,178,139,168,18,944,695,28,36.349175
310,143,111,168,22,914,651,28,33.687797
144,0,175,158,18,943,844,28,15.416683
304,140,0,214,6,895,722,28,33.418902
374,0,0,190,7,1013,730,28,39.051921
159,149,116,175,15,953,720,28,27.675567
153,239,0,200,6,1002,684,28,26.85509
310,143,0,168,10,914,804,28,45.298573
305,0,100,196,10,959,705,28,30.123206
151,0,184,167,12,991,772,28,15.568368
142,167,130,174,11,883,785,28,44.609097
298,137,107,201,6,878,655,28,53.524022
321,164,0,190,5,870,774,28,57.212718
366,187,0,191,7,824,757,28,65.907011
280,129,100,172,9,825,805,28,52.820756
252,97,76,194,8,835,821,28,33.398217
165,0,150,182,12,1023,729,28,18.029797
156,243,0,180,11,1022,698,28,37.362704
160,188,146,203,11,829,710,28,32.839742
298,0,107,186,6,879,815,28,42.637196
318,0,126,210,6,861,737,28,40.058556
287,121,94,188,9,904,696,28,41.940825
326,166,0,174,9,882,790,28,61.232364
356,0,142,193,11,801,778,28,40.865243
132,207,161,179,5,867,736,28,33.301691
322,149,0,186,8,951,709,28,52.42086
164,0,200,181,13,849,846,28,15.085735
314,0,113,170,10,925,783,28,38.458971
321,0,128,182,11,870,780,28,37.259283
140,164,128,237,6,869,656,28,35.225329
288,121,0,177,7,908,829,28,42.133878
298,0,107,210,11,880,744,28,31.874475
265,111,86,195,6,833,790,28,41.540929
160,250,0,168,12,1049,688,28,39.451817
166,260,0,183,13,859,827,28,37.914285
276,116,90,180,9,870,768,28,44.278149
322,0,116,196,10,818,813,28,31.178105
149,139,109,193,6,892,780,28,23.690395
159,187,0,176,11,990,789,28,32.7639
261,100,78,201,9,864,761,28,32.398477
237,92,71,247,6,853,695,28,28.627044
313,0,113,178,8,1002,689,28,36.804229
155,183,0,193,9,1047,697,28,18.284904
146,230,0,202,3,827,872,28,33.060374
296,0,107,221,11,819,778,28,31.419421
133,210,0,196,3,949,795,28,31.02642
313,145,0,178,8,867,824,28,44.388465
152,0,112,184,8,992,816,28,12.176146
153,145,113,178,8,1002,689,28,25.558875
140,133,103,200,7,916,753,28,36.438807
149,236,0,176,13,847,893,28,32.956953
300,0,120,212,10,878,728,28,23.835185
153,145,113,178,8,867,824,28,26.227667
148,0,137,158,16,1002,830,28,17.953955
326,0,138,199,11,801,792,28,40.679084
153,145,0,178,8,1000,822,28,19.008853
262,111,86,195,5,895,733,28,33.715376
158,0,195,220,11,898,713,28,8.535713
151,0,185,167,16,1074,678,28,13.458572
273,0,90,199,11,931,762,28,32.239898
149,118,92,183,7,953,780,28,23.518026
143,169,143,191,8,967,643,28,29.72331
260,101,78,171,10,936,763,28,49.773272
313,161,0,178,10,917,759,28,52.441545
284,120,0,168,7,970,794,28,40.93419
336,0,0,182,3,986,817,28,44.864203
145,0,134,181,11,979,812,28,13.196571
150,237,0,174,12,1069,675,28,37.431652
144,170,133,192,8,814,805,28,29.8681
331,170,0,195,8,811,802,28,56.612874
155,0,143,193,9,1047,697,28,12.458831
155,183,0,193,9,877,868,28,23.786922
135,0,166,180,10,961,805,28,13.293097
266,112,87,178,10,910,745,28,39.417343
314,145,113,179,8,869,690,28,46.229366
313,145,0,127,8,1000,822,28,44.519465
146,173,0,182,3,986,817,28,23.738659
144,136,106,178,7,941,774,28,26.14493
148,0,182,181,15,839,884,28,15.520105
277,117,91,191,7,946,666,28,43.574883
298,0,107,164,13,953,784,28,35.859647
313,145,0,178,8,1002,689,28,41.051401
155,184,143,194,9,880,699,28,28.985571
289,134,0,195,6,924,760,28,46.243155
148,175,0,171,2,1000,828,28,26.917143
145,0,179,202,8,824,869,28,10.535193
313,0,0,178,8,1000,822,28,25.096926
136,162,126,172,10,923,764,28,29.068308
155,0,143,193,9,877,868,28,9.735401
255,99,77,189,6,919,749,28,33.798114
162,207,172,216,10,822,638,28,39.844818
136,196,98,199,6,847,783,28,26.965406
164,163,128,197,8,961,641,28,27.234302
162,214,164,202,10,820,680,28,30.647208
157,214,152,200,9,819,704,28,33.053479
149,153,194,192,8,935,623,28,24.579819
135,105,193,196,6,965,643,28,21.911547
159,209,161,201,7,848,669,28,30.88163
144,15,195,176,6,1021,709,28,15.340841
154,174,185,228,7,845,612,28,24.338503
167,187,195,185,7,898,636,28,23.890343
184,86,190,213,6,923,623,28,22.931972
156,178,187,221,7,854,614,28,29.413046
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.629801
313.3,0,113,178.5,8,1001.9,688.7,28,36.804918
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.287661
145.9,230.5,0,202.5,3.4,827,871.8,28,32.720463
296,0,106.7,221.4,10.5,819.2,778.4,28,31.420111
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.937997
313.3,145,0,178.5,8,867.2,824,28,40.925227
151.6,0,111.9,184.4,7.9,992,815.9,28,12.180972
153.1,145,113,178.5,8,1001.9,688.7,28,25.559565
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.443633
149.5,236,0,175.8,12.6,846.8,892.7,28,32.963848
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.835875
153.1,145,113,178.5,8,867.2,824,28,26.233183
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.959471
326.5,0,137.9,199,10.8,801.1,792.5,28,38.630651
152.7,144.7,0,178.1,8,999.7,822.2,28,19.009543
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.718824
158.4,0,194.9,219.7,11,897.7,712.9,28,8.536402
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.461329
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.245414
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.524232
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.726068
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.773272
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.446371
284,119.7,0,168.3,7.2,970.4,794.2,28,40.93488
336.5,0,0,181.9,3.4,985.8,816.8,28,44.86834
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.202086
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.431652
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.870858
330.5,169.6,0,194.9,8.1,811,802.3,28,56.61908
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.459521
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.786922
134.7,0,165.7,180.2,10,961,804.9,28,13.293787
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42148
314,145.3,113.2,178.9,8,869.1,690.2,28,46.234192
312.7,144.7,0,127.3,8,999.7,822.2,28,44.523602
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.744174
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.147688
148.1,0,182.1,181.4,15,838.9,884.3,28,15.52631
277,116.8,91,190.6,7,946.5,665.6,28,43.578331
298.1,0,107.5,163.6,12.8,953.2,784,28,35.865852
313.3,145,0,178.5,8,1001.9,688.7,28,41.053469
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.991087
289,133.7,0,194.9,5.5,924.1,760.1,28,46.247292
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.922659
145.4,0,178.9,201.7,7.8,824,868.7,28,10.535883
312.7,0,0,178.1,8,999.7,822.2,28,25.103821
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.073134
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.738159
255.3,98.8,77,188.6,6.5,919,749.3,28,33.798803
272.8,105.1,81.8,209.7,9,904,679.7,28,37.17103
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.762261
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.503987
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.987909
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.349864
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.215586
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.423578
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.419591
374.3,0,0,190.2,6.7,1013.2,730.4,28,39.056057
158.6,148.9,116,175.1,15,953.3,719.7,28,27.681082
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.859917
310,142.8,0,167.9,10,914.3,804,28,45.304778
304.8,0,99.6,196,9.8,959.4,705.2,28,30.123206
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.569747
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.611855
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.524711
321.3,164.2,0,190.5,4.6,870,774,28,57.218234
366,187,0,191.3,6.6,824.3,756.9,28,65.909079
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.826962
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.399596
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.033934
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.363394
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.314271
298.1,0,107,186.4,6.1,879,815.2,28,42.644091
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.062003
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.798273
325.6,166.4,0,174,8.9,881.6,790,28,61.235811
355.9,0,141.6,193.3,11,801.4,778.4,28,40.86869
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.306517
322.5,148.6,0,185.8,8.5,951,709.5,28,52.426376
164.2,0,200.1,181.2,12.6,849.3,846,28,15.091251
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46104
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.265488
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.225329
288.4,121,0,177.4,7,907.9,829.5,28,42.140084
298.2,0,107,209.7,11.1,879.6,744.2,28,31.875165
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.542308
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.455954
166,259.7,0,183.2,12.7,858.8,826.8,28,37.917043
276.4,116,90.3,179.6,8.9,870.1,768.3,28,44.284354
322.2,0,115.6,196,10.4,817.9,813.4,28,31.178794
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.696601
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.768036
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.401235
