Inhabitants,Distance,class
15,605,2146
13,696.669983,2148
25,443.329987,2178
22,373.329987,1322
19,340,1075
21,523.330017,1697
34,240,773
8,290,358
23,395,1614
9,486.670013,1092
41,500,2891
17,533.330017,1330
39,380,1660
12,165,356
40,290,1058
25,158.330002,365
52,398.329987,1284
11,316.670013,642
29,180,621
5,186.669998,389
56,320,1146
19,443.329987,1011
46,323.329987,1032
6,300,668
57,580,3357
78,813.330017,4765
26,590,2389
15,553.330017,1617
32,270,909
43,400,1671
39,396.670013,1720
11,293.329987,739
25,360,1087
28,673.330017,1723
57,666.669983,2553
20,900,2628
21,963.330017,1588
24,230,764
24,420,2082
90,341.670013,1623
9,366.670013,1113
39,326.670013,1161
69,443.329987,1562
19,623.330017,1663
25,433.329987,1500
29,373.329987,1682
26,365,1441
79,416.670013,2557
31,718.330017,1948
29,541.669983,2312
28,448.329987,1599
1,120,212
2,105,80
1,80,80
1,150,150
28,456.670013,1349
19,138.330002,466
57,211.669998,817
24,280,666
40,361.670013,1030
142,281.670013,1971
7,1000,1453
23,683.330017,1873
7,340,1284
2,380,737
41,135,811
26,86.669998,231
12,176.669998,357
18,713.330017,2253
8,526.669983,987
75,346.670013,1531
70,591.669983,3221
31,476.670013,1370
23,303.329987,1003
20,370,921
3,60,96
4,210,456
39,335,883
10,201.669998,574
47,636.669983,1409
8,291.670013,475
10,405,621
35,396.670013,1168
24,223.330002,592
19,510,1895
26,393.329987,1676
16,266.670013,905
11,213.330002,657
4,126.669998,392
34,518.330017,2470
27,763.330017,1799
27,533.330017,1192
21,506.670013,1730
38,258.329987,734
35,671.669983,2071
20,358.329987,599
23,493.329987,1404
16,738.330017,1805
18,716.669983,2274
18,128.330002,516
16,280,638
19,323.329987,657
45,603.330017,2225
11,313.329987,1141
16,596.669983,1108
10,458.329987,744
39,520,2199
32,316.670013,1036
33,710,1391
11,258.329987,913
92,793.330017,1855
40,673.330017,2145
44,456.670013,1834
15,610,1736
10,258.329987,432
34,280,733
3,95,123
18,226.669998,386
31,546.669983,1764
30,386.670013,1083
28,513.330017,2082
68,240,643
67,501.670013,1953
27,288.329987,1229
8,456.670013,903
13,733.330017,864
44,366.670013,1635
15,486.670013,1325
16,373.329987,1000
8,500,1176
24,350,915
19,775,2737
12,600,1898
15,263.329987,910
29,340,755
27,480,1491
22,433.329987,1706
25,520,1789
11,453.329987,897
5,368.329987,656
45,563.330017,2097
35,586.669983,2629
77,1006.669983,5932
14,566.669983,2797
15,476.670013,1336
26,376.670013,1803
15,563.330017,2010
42,680,3235
17,360,991
14,298.329987,1264
45,490,1979
15,278.329987,623
130,668.330017,5589
185,943.330017,6539
41,733.330017,3085
31,415,1354
24,783.330017,2239
150,573.330017,2976
9,116.669998,176
45,350,1607
6,480,1290
37,188.330002,723
65,336.670013,1601
15,501.670013,1818
47,480,1698
23,966.669983,2809
34,343.329987,1224
16,608.330017,1641
26,716.669983,2435
24,706.669983,3117
13,423.329987,706
66,846.669983,3327
54,913.330017,3433
21,363.329987,1691
27,198.330002,468
27,353.329987,1110
52,423.329987,1370
16,488.329987,1538
52,563.330017,2123
24,533.330017,2437
64,573.330017,2765
89,1013.330017,2800
39,293.329987,774
26,586.669983,2959
23,576.669983,1753
46,575,2974
36,283.329987,1230
50,476.670013,2039
33,165,482
18,460,1150
17,376.670013,952
59,783.330017,2891
57,503.329987,1565
11,633.330017,1349
28,193.330002,1064
44,390,1167
3,210,353
35,246.669998,1010
92,248.330002,1412
76,230,1140
48,550,1500
17,176.669998,498
42,350,1295
32,305,1207
36,776.669983,2087
18,376.670013,1100
12,420,827
39,181.669998,673
50,188.330002,605
13,233.330002,517
23,850,1670
37,220,895
43,363.329987,1181
59,165,413
21,113.330002,271
32,383.329987,1104
58,301.670013,692
26,496.670013,1328
43,193.330002,445
11,180,481
44,766.669983,2254
3,316.670013,840
4,336.670013,643
47,158.330002,592
7,356.670013,567
12,405,1296
26,245,742
26,481.670013,1044
20,616.669983,1575
50,400,1388
26,405,1296
13,673.330017,1671
14,976.669983,2465
9,520,1551
16,583.330017,1660
10,380,1261
12,446.670013,844
16,660,1368
31,373.329987,1196
14,415,1141
28,533.330017,1724
16,406.670013,1679
10,648.330017,1773
25,551.669983,1895
46,460,1421
6,556.669983,1364
41,633.330017,1776
9,191.669998,353
13,298.329987,500
39,238.330002,554
47,426.670013,1015
16,753.330017,2857
25,253.330002,835
28,261.670013,660
54,515,1471
11,495,828
59,633.330017,1981
9,261.670013,993
9,115,126
6,85,132
29,136.669998,421
9,135,346
24,395,505
46,1115,1788
15,426.670013,1047
13,490,1478
30,863.330017,2684
22,271.670013,1046
70,250,1285
52,441.670013,1987
75,410,1528
44,563.330017,2346
29,890,5401
32,991.669983,3000
41,893.330017,4595
41,926.669983,3552
18,856.669983,4437
27,923.330017,4820
29,1200,3985
9,590,1489
21,516.669983,2478
15,713.330017,1894
25,756.669983,2972
56,816.669983,4879
51,1018.330017,3977
6,490,856
16,1673.329956,3729
41,613.330017,3898
19,723.330017,3157
30,1180,4712
12,366.670013,804
36,718.330017,2603
27,751.669983,4210
48,728.330017,5384
13,513.330017,1478
70,250,1285
18,636.669983,1972
10,611.669983,2350
23,1271.670044,1946
92,458.329987,1733
58,365,2064
97,225,1509
31,633.330017,1422
18,716.669983,1430
35,330,1084
37,860,2470
19,280,469
36,223.330002,567
12,536.669983,1064
18,396.670013,1174
16,556.669983,1590
26,603.330017,2748
27,550,1688
51,405,1956
17,276.670013,839
63,295,1466
91,996.669983,2702
17,720,1417
4,646.669983,948
111,370,1025
16,126.669998,534
36,305,1147
14,893.330017,2765
7,211.669998,375
45,451.670013,1345
67,1050,4070
80,1166.670044,3430
63,645,2930
125,706.669983,4115
37,923.330017,3200
51,975,3210
29,653.330017,2745
40,876.669983,3215
150,1050,7675
61,686.669983,3605
22,620,1535
83,758.330017,2120
86,873.330017,2810
77,560,1880
320,880,3090
147,1270,3570
36,945,2160
15,318.329987,665
55,420,1520
22,556.669983,2216
89,1360,4845
84,716.669983,3362
90,963.330017,5990
30,571.669983,2110
39,533.330017,2560
38,426.670013,2608
52,546.669983,2362
28,936.669983,2160
17,295,970
24,680,1680
78,675,2594
46,390,1176
20,313.329987,826
55,736.669983,2916
59,796.669983,4610
200,596.669983,3302
55,343.329987,1396
19,316.670013,1042
42,573.330017,2522
69,853.330017,5009
20,463.329987,1360
30,300,764
52,1123.329956,2136
16,606.669983,1936
47,983.330017,4016
14,423.329987,1360
27,613.330017,3064
15,650,1982
71,363.329987,1726
77,490,2684
43,473.329987,2000
69,466.670013,3096
39,380,2300
25,506.670013,1694
15,336.670013,1130
7,546.669983,1370
41,346.670013,1942
67,826.669983,3380
34,508.329987,1835
62,1370,4750
10,266.670013,860
19,436.670013,670
7,463.329987,862
18,736.669983,1130
31,700,2090
18,323.329987,890
16,203.330002,625
14,216.669998,710
6,136.669998,160
83,460,1885
55,308.329987,2055
12,323.329987,1357
24,466.670013,1739
19,533.330017,908
22,198.330002,533
55,510,2291
58,553.330017,2771
8,330,513
24,540,1936
27,223.330002,384
29,386.670013,1277
16,223.330002,498
11,356.670013,1207
76,863.330017,3411
79,430,2521
16,603.330017,1605
14,326.670013,980
44,143.330002,570
20,370,1144
5,160,404
25,346.670013,1276
35,736.669983,2686
85,400,1532
30,790,2257
23,600,2124
25,313.329987,1051
26,423.329987,1362
16,203.330002,496
51,631.669983,1837
29,461.670013,2142
8,60,118
46,460,1534
13,408.329987,1210
103,433.329987,1840
29,156.669998,675
17,295,823
39,290,542
57,405,1241
65,596.669983,2674
40,450,1663
79,576.669983,2702
30,446.670013,1868
17,420,622
20,836.669983,1535
19,323.329987,1124
9,171.669998,390
12,351.670013,1019
59,471.670013,1336
18,330,822
15,205,374
42,756.669983,2134
52,673.330017,2898
8,346.670013,1187
19,173.330002,484
9,516.669983,1559
46,1106.670044,2651
35,1016.669983,4046
49,736.669983,4486
54,681.669983,3731
21,640,1998
21,473.329987,2139
15,806.669983,2610
34,1095,4673
20,346.670013,1287
23,953.330017,2515
28,268.329987,1003
86,455,2260
16,333.329987,686
9,476.670013,2452
12,213.330002,616
25,368.329987,942
25,195,528
39,416.670013,1460
27,460,1723
37,466.670013,1143
126,690,1987
36,915,1571
21,466.670013,1002
30,380,1206
141,966.669983,6465
63,830,3330
55,1006.669983,4880
200,506.670013,3310
60,755,2305
74,613.330017,1675
22,433.329987,1704
108,611.669983,2764
19,363.329987,1190
10,473.329987,844
45,453.329987,1698
55,830,4268
46,663.330017,2206
39,500,1232
13,763.330017,2289
70,423.329987,2754
18,593.330017,2426
36,573.330017,2275
23,473.329987,814
22,923.330017,1780
12,306.670013,1023
